Country,Real_GDP_per_Capita_USD,Total_Population,electricity_access_percent,electricity_generating_capacity_kW,roadways_km,mobile_cellular_subscriptions_total,broadband_fixed_subscriptions_total
SEYCHELLES,28800.0,97617.0,100.0,157000.0,526.0,184161.0,34966.0
SIERRA LEONE,1600.0,8908040.0,27.0,180000.0,11701.0,8227093.0,
SINGAPORE,106000.0,5975383.0,100.0,12240000.0,3500.0,8660700.0,1509700.0
SINT MAARTEN,35300.0,45677.0,100.0,,53.0,68840.0,
SLOVAKIA,31900.0,5425319.0,100.0,7868000.0,56926.0,7362325.0,1701561.0
SLOVENIA,40000.0,2099790.0,100.0,4062000.0,38985.0,2607268.0,651604.0
SOLOMON ISLANDS,2400.0,714766.0,76.0,40000.0,1390.0,470000.0,1000.0
SOMALIA,1100.0,12693796.0,49.0,91000.0,15000.0,8844000.0,119000.0
SOUTH AFRICA,13300.0,58048332.0,89.0,62728000.0,750000.0,100328005.0,1303057.0
SOUTH SUDAN,1600.0,12118379.0,7.0,121000.0,90200.0,3300000.0,200.0
SPAIN,34000.0,47222613.0,100.0,5000.0,683175.0,5000.0,2700.0
SRI LANKA,13400.0,23326272.0,100.0,4527000.0,114093.0,30764134.0,1781530.0
SUDAN,3700.0,49197555.0,61.0,4354000.0,31000.0,16688773.0,28782.0
SURINAME,14800.0,639759.0,98.0,542000.0,4304.0,906170.0,92270.0
SWEDEN,54800.0,10536338.0,100.0,43499000.0,573134.0,12843683.0,4179574.0
SYRIA,2900.0,22933531.0,88.0,10082000.0,69873.0,16990714.0,1549356.0
TAIWAN,47800.0,23588613.0,,57738000.0,43206.0,30000000.0,5831470.0
TAJIKISTAN,3900.0,9245937.0,99.0,7114000.0,30000.0,12000000.0,6000.0
TANZANIA,2600.0,65642682.0,42.0,1623000.0,145203.0,54000000.0,1135608.0
THAILAND,17100.0,69794997.0,100.0,53130000.0,180053.0,120000000.0,11478265.0
TIMOR-LESTE,5000.0,1476042.0,100.0,284000.0,6040.0,1400000.0,75.0
TOGO,2100.0,8703961.0,55.0,210000.0,9951.0,6300000.0,52706.0
TOKELAU,6004.0,1647.0,,,10.0,,
TONGA,6100.0,105221.0,100.0,26000.0,680.0,64000.0,5000.0
TRINIDAD AND TOBAGO,23000.0,1407460.0,100.0,2123000.0,,2000000.0,376771.0
TUNISIA,10400.0,11976182.0,99.0,5777000.0,,16000000.0,1334059.0
TURKEY (TURKIYE),31500.0,83593483.0,100.0,96846000.0,67333.0,86000000.0,16734853.0
TURKMENISTAN,15000.0,5690818.0,100.0,5205000.0,58592.0,6300000.0,10000.0
TURKS AND CAICOS ISLANDS,18500.0,59367.0,100.0,85000.0,121.0,25085.0,
TUVALU,4900.0,11639.0,99.0,,8.0,9000.0,450.0
UGANDA,2200.0,47729952.0,45.0,2397000.0,20544.0,30000000.0,58594.0
UKRAINE,10700.0,43306477.0,100.0,56816000.0,169694.0,56000000.0,7769401.0
UNITED ARAB EMIRATES,69700.0,9973449.0,100.0,35173000.0,4080.0,18000000.0,3245123.0
UNITED KINGDOM,46200.0,68138484.0,100.0,113153000.0,394428.0,80220000.0,27050000.0
UNITED STATES,63700.0,339665118.0,100.0,1147000000.0,6586610.0,496800000.0,119870000.0
URUGUAY,22800.0,3416264.0,100.0,5348000.0,77732.0,4700000.0,1063701.0
UZBEKISTAN,7700.0,31360836.0,99.0,16042000.0,86496.0,35000000.0,4820009.0
VANUATU,2800.0,313046.0,70.0,35000.0,1070.0,250000.0,2785.0
VENEZUELA,7704.0,30518260.0,99.0,32956000.0,96189.0,17000000.0,2561556.0
VIETNAM,10600.0,104799174.0,100.0,65283000.0,195468.0,140000000.0,16699249.0
VIRGIN ISLANDS,37000.0,104917.0,100.0,321000.0,1260.0,80000.0,
WALLIS AND FUTUNA,3800.0,15929.0,,,,0.0,
WEST BANK,5600.0,3176549.0,100.0,215000.0,4686.0,4052966.0,373050.0
WORLD,17000.0,7979261010.0,91.0,,,8.0,1.0
YEMEN,2500.0,31565602.0,74.0,1772000.0,71300.0,15000000.0,391000.0
ZAMBIA,3200.0,20216029.0,46.0,3065000.0,67671.0,20000000.0,82317.0
ZIMBABWE,2100.0,15418674.0,48.0,2473000.0,97267.0,14257590.0,203461.0
